Age,Years Active,Beauty,Skill Level,Award Wins,Media Mentions,Social Media Followers,Social Media Likes,Network Size,Income,Education Rank,Gender_Female,Gender_Male,Nationality_Canada,Nationality_USA,Genre Specialization_Action,Genre Specialization_Comedy,Genre Specialization_Drama,Genre Specialization_Horror,Genre Specialization_Musical,Genre Specialization_Sci-Fi,Recommendation_Score,Cluster
0.0196078431372549,0.0333333333333333,0.6418711656441719,0.3473861720067454,0.3125,0.7142857142857142,0.3573847536111686,0.3826429980276133,0.2903225806451613,0.1078660024899191,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3162880404194954,0
0.5882352941176471,0.6333333333333333,0.5130368098159509,0.4051433389544688,0.5,0.4081632653061224,0.546893358214113,0.5656804733727809,0.5483870967741936,0.4077973741732732,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4984046665264421,2
0.607843137254902,0.7666666666666666,0.4785276073619632,0.4114671163575042,0.625,0.5918367346938775,0.4751537770405695,0.4295857988165679,0.3225806451612903,0.6233905372781665,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5559878971180863,2
0.4509803921568628,0.5,0.5283742331288344,0.6555649241146713,0.4375,0.510204081632653,0.4309212799778837,0.4185404339250491,0.3870967741935484,0.2609463580870633,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5213741413932435,2
0.3921568627450981,0.6333333333333333,0.3719325153374233,0.4106239460370995,0.5625,0.4285714285714285,0.2018798811251642,0.2832347140039446,0.2903225806451613,0.3226304055537323,0.6666666666666667,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4455869695599722,3
0.2549019607843137,0.4333333333333333,0.3888036809815951,0.4405564924114671,0.4375,0.5714285714285714,0.5870481719538324,0.6422090729783037,0.4516129032258065,0.3776915870127809,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4808861059237305,2
0.5490196078431373,0.3,0.3957055214723926,0.3111298482293423,0.3125,0.4081632653061224,0.3509572188817472,0.6090729783037476,0.4516129032258065,0.1242665006137303,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3268467247757644,3
0.0980392156862745,0.1666666666666666,0.2868098159509202,0.3566610455311974,0.25,0.3469387755102041,0.2524016863639505,0.4157790927021696,0.3225806451612903,0.0265241114181647,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.275505861816503,1
0.0392156862745098,0.0666666666666666,0.5214723926380369,0.3473861720067454,0.25,0.4489795918367346,0.4222821203953278,0.6986193293885599,0.4838709677419355,0.1287488091697313,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.296903568198096,0
0.4705882352941176,0.4333333333333333,0.5414110429447854,0.1138279932546374,0.375,0.183673469387755,0.400165871863985,0.4982248520710057,0.3548387096774194,0.2365550608553431,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2942155859546304,3
